feature,importance,cohort,model,combined_importance,combined_importance_norm
chd_avd,0.0029994198205483,Combined,XGBoost,0.0029994198205483,0.039060660632948184
hxfonlvr_bin,0.0029918648068953,Combined,XGBoost,0.0029918648068953,0.03896227366412326
chd_aspl,0.0029452126652111,Combined,XGBoost,0.0029452126652111,0.03835473501226704
chd_heter,0.0029281640174782,Combined,XGBoost,0.0029281640174782,0.038132714927321495
chd_triat,0.0029126648434814,Combined,XGBoost,0.0029126648434814,0.03793087323399383
txvad,0.002893684015717,Combined,XGBoost,0.002893684015717,0.037683690873339115
riskothr,0.0028795418018894,Combined,XGBoost,0.0028795418018894,0.03749952051774765
pacemake,0.0028777672878597,Combined,XGBoost,0.0028777672878597,0.037476411485184866
atrskhst,0.0028307839593474,Combined,XGBoost,0.0028307839593474,0.03686455987379897
lsprocm,0.0028079354310339,Combined,XGBoost,0.0028079354310339,0.03656700945944825
txchol_r,0.0027908069022615,Combined,XGBoost,0.0027908069022615,0.03634394910459665
txbpam,0.0027846343986819,Combined,XGBoost,0.0027846343986819,0.036263566203234635
txpalb_r,0.0027749847468131,Combined,XGBoost,0.0027749847468131,0.03613790130821357
lsttperf,0.0027666319977053,Combined,XGBoost,0.0027666319977053,0.036029125638993555
chd_pa,0.0027284738645575,Combined,XGBoost,0.0027284738645575,0.035532202240987666
chd_tof,0.0027260283289194,Combined,XGBoost,0.0027260283289194,0.03550035466934358
hxmed,0.0026927951085402,Combined,XGBoost,0.0026927951085402,0.03506756712353926
lspalb_r,0.002634742530971,Combined,XGBoost,0.002634742530971,0.03431156357386482
txcntry,0.0026169151144736,Combined,XGBoost,0.0026169151144736,0.03407940178677631
slvent,0.0026029027793017,Combined,XGBoost,0.0026029027793017,0.03389692280698326
lsdcd,0.0025858738260785,Combined,XGBoost,0.0025858738260785,0.033675159198491754
weight_txpl,0.0025802318100928,Combined,XGBoost,0.0025802318100928,0.033601684698459
txsilden,0.0025483890095433,Combined,XGBoost,0.0025483890095433,0.03318700422680722
hiv,0.0025231714516805,Combined,XGBoost,0.0025231714516805,0.0328586025596173
prm_list,0.0025070738864747,Combined,XGBoost,0.0025070738864747,0.03264896817392281
lspge,0.0024903494127711,Combined,XGBoost,0.0024903494127711,0.03243116972266047
hxiso,0.0024532477866629,Combined,XGBoost,0.0024532477866629,0.031948004939786556
lshemagt,0.0024307588983262,Combined,XGBoost,0.0024307588983262,0.03165513802288677
don_t3,0.00243071954495,Combined,XGBoost,0.00243071954495,0.031654625534150785
dmhdiab,0.0024295371036686,Combined,XGBoost,0.0024295371036686,0.031639226910292015
txbpcw,0.0024172964823128,Combined,XGBoost,0.0024172964823128,0.03147982049661168
age_txpl_months,0.0024154007720687,Combined,XGBoost,0.0024154007720687,0.03145513315741498
hbsag,0.00240788864984,Combined,XGBoost,0.00240788864984,0.031357304752402025
cpr,0.0024033845331557,Combined,XGBoost,0.0024033845331557,0.03129864881766046
hxisoth,0.0024019362021652,Combined,XGBoost,0.0024019362021652,0.03127978758159189
txbco,0.0023690750629327,Combined,XGBoost,0.0023690750629327,0.030851845551343484
lshpo2,0.0023582090542688,Combined,XGBoost,0.0023582090542688,0.030710340359590207
dhcab,0.0023569767503634,Combined,XGBoost,0.0023569767503634,0.030694292387807225
chd_vsd,0.0023011439500368,Combined,XGBoost,0.0023011439500368,0.029967196417178536
dtime,0.0022739966595178,Combined,XGBoost,0.0022739966595178,0.02961366434580853
lspcmt,0.0022372072849664,Combined,XGBoost,0.0022372072849664,0.029134565933373564
hlatxpre,0.0021891006164036,Combined,XGBoost,0.0021891006164036,0.028508085358016907
hxrenins,0.0021869019557667,Combined,XGBoost,0.0021869019557667,0.028479452775009816
don_vpr,0.0021758161362162,Combined,XGBoost,0.0021758161362162,0.02833508504351265
hxshock,0.0021329790201893,Combined,XGBoost,0.0021329790201893,0.027777228473999455
debv,0.0021280988958751,Combined,XGBoost,0.0021280988958751,0.02771367589013718
