Cohort,Model,C_Index_Mean,C_Index_SD,C_Index_CI_Lower,C_Index_CI_Upper,n_splits,feature,importance,Rank,Base_Feature,Category,Potential_Intervention,Modifiability,Best_Model
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,slecmo,1.0793423628020968,24,slecmo,Cardiac,ECMO support,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hxsurg,1.060962034062634,25,hxsurg,Surgical History,Surgical history context (non-modifiable),Non-modifiable (context),CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hxshock,0.9609842454007668,26,hxshock,Cardiac,Shock stabilization,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txpalb_r,0.9229002674444807,27,txpalb,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txecmo,0.9091142628725501,28,txecmo,Cardiac,ECMO support,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,txfcpra,0.8063264561131144,29,txfcpra,Immunology,PRA monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,lsfcpra,0.7927045942071158,30,lsfcpra,Immunology,PRA monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hxfail,0.5981912763334913,31,hxfail,Nutrition,Nutrition and growth support,Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,ltxtrach,0.49754568917499403,32,ltxtrach,Respiratory,Tracheostomy care,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hlatxpre,0.2790112895524648,33,hlatxpre,Immunology,HLA desensitization,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5439005049716246,0.040247860605532766,0.47325785093583705,0.6292667718304511,50,hxtrach,0.058853967805590296,34,hxtrach,Respiratory,Tracheostomy care,Partially Modifiable,CatBoost
