Timestamp,Cohort,Model,N,Events,C_Index
2026-01-12 12:43:49,Myocardio,RSF,583,70,0.407647
2026-01-12 12:44:29,Myocardio,CatBoost,583,70,0.580757
2026-01-12 12:44:30,Myocardio,XGBoost,583,70,0.520018
2026-01-12 12:44:31,Myocardio,AORSF,583,70,0.40061
2026-01-12 12:44:39,Myocardio,CatBoost,583,70,0.58352
2026-01-12 12:44:41,Myocardio,XGBoost,583,70,0.521325
2026-01-12 12:44:42,Myocardio,AORSF,583,70,0.355362
2026-01-12 12:44:50,Myocardio,CatBoost,583,70,0.583466
2026-01-12 12:44:52,Myocardio,XGBoost,583,70,0.50568
2026-01-12 12:44:53,Myocardio,AORSF,583,70,0.419451
2026-01-12 12:45:09,Myocardio,CatBoost,583,70,0.572874
2026-01-12 12:45:12,Myocardio,XGBoost,583,70,0.452616
2026-01-12 12:45:14,Myocardio,AORSF,583,70,0.383263
2026-01-12 12:45:31,Myocardio,CatBoost,583,70,0.606138
2026-01-12 12:45:35,Myocardio,XGBoost,583,70,0.394863
2026-01-12 12:45:36,Myocardio,AORSF,583,70,0.389711
2026-01-12 12:45:49,Myocardio,CatBoost,583,70,0.565139
2026-01-12 12:45:52,Myocardio,CatBoost,583,70,0.568679
2026-01-12 12:45:52,Myocardio,XGBoost,583,70,0.44509
2026-01-12 12:45:54,Myocardio,AORSF,583,70,0.449052
2026-01-12 12:45:57,Myocardio,XGBoost,583,70,0.453166
2026-01-12 12:45:59,Myocardio,AORSF,583,70,0.398361
2026-01-12 12:50:30,Myocardio,RSF,583,70,0.410147
2026-01-12 12:51:33,Myocardio,RSF,583,70,0.327865
2026-01-12 12:51:56,Myocardio,RSF,583,70,0.352462
2026-01-12 12:52:53,Myocardio,RSF,583,70,0.367205
2026-01-12 12:53:00,Myocardio,RSF,583,70,0.367322
2026-01-12 12:53:03,Myocardio,CatBoost,583,70,0.517768
2026-01-12 12:53:04,Myocardio,RSF,583,70,0.386637
2026-01-12 12:53:06,Myocardio,XGBoost,583,70,0.478016
2026-01-12 12:53:07,Myocardio,AORSF,583,70,0.370462
2026-01-12 12:53:24,Myocardio,RSF,583,70,0.447422
2026-01-12 12:53:28,Myocardio,RSF,583,70,0.412255
2026-01-12 12:53:44,Myocardio,CatBoost,583,70,0.451864
2026-01-12 12:53:46,Myocardio,XGBoost,583,70,0.431581
2026-01-12 12:53:47,Myocardio,AORSF,583,70,0.3623
2026-01-12 12:53:59,Myocardio,CatBoost,583,70,0.54997
2026-01-12 12:54:01,Myocardio,XGBoost,583,70,0.469298
2026-01-12 12:54:02,Myocardio,AORSF,583,70,0.365149
2026-01-12 12:54:50,Myocardio,CatBoost,583,70,0.547263
2026-01-12 12:54:52,Myocardio,XGBoost,583,70,0.422808
2026-01-12 12:54:54,Myocardio,AORSF,583,70,0.357111
2026-01-12 12:55:00,Myocardio,CatBoost,583,70,0.521039
2026-01-12 12:55:03,Myocardio,CatBoost,583,70,0.504021
2026-01-12 12:55:03,Myocardio,XGBoost,583,70,0.407586
2026-01-12 12:55:04,Myocardio,AORSF,583,70,0.348656
2026-01-12 12:55:08,Myocardio,XGBoost,583,70,0.524802
2026-01-12 12:55:09,Myocardio,AORSF,583,70,0.431577
2026-01-12 12:55:32,Myocardio,CatBoost,583,70,0.597725
2026-01-12 12:55:36,Myocardio,XGBoost,583,70,0.533209
2026-01-12 12:55:38,Myocardio,AORSF,583,70,0.445859
2026-01-12 12:55:39,Myocardio,CatBoost,583,70,0.627687
2026-01-12 12:55:44,Myocardio,XGBoost,583,70,0.447379
2026-01-12 12:55:45,Myocardio,AORSF,583,70,0.330812
2026-01-12 13:00:02,Myocardio,RSF,583,70,0.405671
2026-01-12 13:00:47,Myocardio,RSF,583,70,0.349045
2026-01-12 13:01:14,Myocardio,RSF,583,70,0.335802
2026-01-12 13:01:58,Myocardio,RSF,583,70,0.351713
2026-01-12 13:02:03,Myocardio,RSF,583,70,0.361994
2026-01-12 13:02:03,Myocardio,RSF,583,70,0.355469
2026-01-12 13:02:19,Myocardio,RSF,583,70,0.414105
2026-01-12 13:02:31,Myocardio,RSF,583,70,0.396014
2026-01-12 13:03:41,Myocardio,CatBoost,583,70,0.528385
2026-01-12 13:03:42,Myocardio,XGBoost,583,70,0.475108
2026-01-12 13:03:43,Myocardio,AORSF,583,70,0.368114
2026-01-12 13:07:50,Myocardio,RSF,583,70,0.348223
2026-01-12 15:36:43,CHD,CatBoost,570,115,0.597837
2026-01-12 15:36:44,CHD,XGBoost,570,115,0.45014
2026-01-12 15:36:45,CHD,AORSF,570,115,0.398942
2026-01-12 15:36:51,CHD,CatBoost,570,115,0.600171
2026-01-12 15:36:53,CHD,XGBoost,570,115,0.440648
2026-01-12 15:36:55,CHD,AORSF,570,115,0.41509
2026-01-12 15:37:03,CHD,CatBoost,570,115,0.567212
2026-01-12 15:37:06,CHD,XGBoost,570,115,0.518613
2026-01-12 15:37:07,CHD,AORSF,570,115,0.432767
2026-01-12 15:37:41,CHD,CatBoost,570,115,0.580511
2026-01-12 15:37:41,CHD,CatBoost,570,115,0.561969
2026-01-12 15:37:41,CHD,CatBoost,570,115,0.56585
2026-01-12 15:37:41,CHD,CatBoost,570,115,0.590329
2026-01-12 15:37:43,CHD,XGBoost,570,115,0.474361
2026-01-12 15:37:43,CHD,XGBoost,570,115,0.426618
2026-01-12 15:37:43,CHD,XGBoost,570,115,0.454065
2026-01-12 15:37:43,CHD,XGBoost,570,115,0.461362
2026-01-12 15:37:45,CHD,AORSF,570,115,0.362321
2026-01-12 15:37:45,CHD,AORSF,570,115,0.337223
2026-01-12 15:37:45,CHD,AORSF,570,115,0.377175
2026-01-12 15:37:46,CHD,AORSF,570,115,0.383492
2026-01-12 15:37:57,CHD,CatBoost,570,115,0.60982
2026-01-12 15:38:02,CHD,XGBoost,570,115,0.452653
2026-01-12 15:38:04,CHD,AORSF,570,115,0.35842
2026-01-12 15:40:33,CHD,RSF,570,115,0.431986
2026-01-12 15:40:48,CHD,RSF,570,115,0.410386
2026-01-12 15:41:12,CHD,RSF,570,115,0.411174
2026-01-12 15:41:53,CHD,RSF,570,115,0.35034
2026-01-12 15:41:55,CHD,RSF,570,115,0.411155
2026-01-12 15:42:02,CHD,RSF,570,115,0.366911
2026-01-12 15:42:15,CHD,RSF,570,115,0.384903
2026-01-12 15:42:20,CHD,RSF,570,115,0.406628
2026-01-12 15:42:38,CHD,CatBoost,570,115,0.549396
2026-01-12 15:42:38,CHD,XGBoost,570,115,0.536822
2026-01-12 15:42:39,CHD,AORSF,570,115,0.399426
2026-01-12 15:42:50,CHD,CatBoost,570,115,0.53386
2026-01-12 15:42:51,CHD,XGBoost,570,115,0.52709
2026-01-12 15:42:52,CHD,AORSF,570,115,0.40385
2026-01-12 15:43:06,CHD,CatBoost,570,115,0.534196
2026-01-12 15:43:08,CHD,XGBoost,570,115,0.431198
2026-01-12 15:43:10,CHD,AORSF,570,115,0.372072
2026-01-12 15:43:42,CHD,CatBoost,570,115,0.598894
2026-01-12 15:43:44,CHD,XGBoost,570,115,0.477959
2026-01-12 15:43:45,CHD,CatBoost,570,115,0.572286
2026-01-12 15:43:45,CHD,AORSF,570,115,0.402679
2026-01-12 15:43:50,CHD,XGBoost,570,115,0.474556
2026-01-12 15:43:51,CHD,AORSF,570,115,0.439016
2026-01-12 15:43:59,CHD,CatBoost,570,115,0.563913
2026-01-12 15:44:02,CHD,XGBoost,570,115,0.466173
2026-01-12 15:44:04,CHD,AORSF,570,115,0.386864
2026-01-12 15:44:23,CHD,CatBoost,570,115,0.583025
2026-01-12 15:44:26,CHD,XGBoost,570,115,0.441584
2026-01-12 15:44:28,CHD,AORSF,570,115,0.375748
2026-01-12 15:44:38,CHD,CatBoost,570,115,0.579846
2026-01-12 15:44:42,CHD,XGBoost,570,115,0.452603
2026-01-12 15:44:44,CHD,AORSF,570,115,0.36336
2026-01-12 15:46:04,CHD,RSF,570,115,0.427697
2026-01-12 15:46:52,CHD,RSF,570,115,0.405818
2026-01-12 15:47:05,CHD,RSF,570,115,0.383302
2026-01-12 16:13:17,CHD,CatBoost,570,115,0.597837
2026-01-12 16:13:18,CHD,XGBoost,570,115,0.45014
2026-01-12 16:13:18,CHD,AORSF,570,115,0.398942
2026-01-12 16:13:34,CHD,CatBoost,570,115,0.600171
2026-01-12 16:13:35,CHD,XGBoost,570,115,0.440648
2026-01-12 16:13:36,CHD,AORSF,570,115,0.41509
2026-01-12 16:13:57,CHD,CatBoost,570,115,0.567212
2026-01-12 16:13:58,CHD,XGBoost,570,115,0.518613
2026-01-12 16:13:59,CHD,AORSF,570,115,0.432767
2026-01-12 16:14:19,CHD,CatBoost,570,115,0.590329
2026-01-12 16:14:20,CHD,XGBoost,570,115,0.426618
2026-01-12 16:14:22,CHD,AORSF,570,115,0.337223
2026-01-12 16:14:37,CHD,CatBoost,570,115,0.56585
2026-01-12 16:14:38,CHD,XGBoost,570,115,0.461362
2026-01-12 16:14:40,CHD,AORSF,570,115,0.383492
2026-01-12 16:15:02,CHD,CatBoost,570,115,0.561969
2026-01-12 16:15:03,CHD,XGBoost,570,115,0.474361
2026-01-12 16:15:04,CHD,AORSF,570,115,0.362321
2026-01-12 16:15:21,CHD,CatBoost,570,115,0.580511
2026-01-12 16:15:22,CHD,XGBoost,570,115,0.454065
2026-01-12 16:15:24,CHD,AORSF,570,115,0.377175
2026-01-12 16:15:38,CHD,CatBoost,570,115,0.60982
2026-01-12 16:15:39,CHD,XGBoost,570,115,0.452653
2026-01-12 16:15:41,CHD,AORSF,570,115,0.35842
2026-01-12 16:15:47,CHD,RSF,570,115,0.431986
2026-01-12 16:16:16,CHD,RSF,570,115,0.410386
2026-01-12 16:16:49,CHD,RSF,570,115,0.411174
2026-01-12 16:17:02,CHD,RSF,570,115,0.35034
2026-01-12 16:17:20,CHD,RSF,570,115,0.411155
2026-01-12 16:17:25,CHD,CatBoost,570,115,0.549396
2026-01-12 16:17:26,CHD,XGBoost,570,115,0.536822
2026-01-12 16:17:27,CHD,AORSF,570,115,0.399426
2026-01-12 16:17:53,CHD,CatBoost,570,115,0.53386
2026-01-12 16:17:53,CHD,XGBoost,570,115,0.52709
2026-01-12 16:17:54,CHD,AORSF,570,115,0.40385
2026-01-12 16:18:12,CHD,RSF,570,115,0.406628
2026-01-12 16:18:14,CHD,RSF,570,115,0.366911
2026-01-12 16:18:21,CHD,RSF,570,115,0.384903
2026-01-12 16:18:26,CHD,CatBoost,570,115,0.534196
2026-01-12 16:18:26,CHD,XGBoost,570,115,0.431198
2026-01-12 16:18:27,CHD,AORSF,570,115,0.372072
2026-01-12 16:18:40,CHD,CatBoost,570,115,0.598894
2026-01-12 16:18:40,CHD,XGBoost,570,115,0.477959
2026-01-12 16:18:41,CHD,AORSF,570,115,0.402679
2026-01-12 16:19:01,CHD,CatBoost,570,115,0.572286
2026-01-12 16:19:01,CHD,XGBoost,570,115,0.474556
