feature,importance,cohort,model,combined_importance,importance_xgb,combined_importance_norm
txaboinc,1.444791876631301,Myocardio,CatBoost,0.8675119315978322,0.0015920140476291,0.17189740105901066
egfr_change,1.4274671342428722,Myocardio,CatBoost,0.8621990024768367,0.0142968048277834,0.17084464469377228
slnomcsd,1.4276928698266018,Myocardio,CatBoost,0.8577275599740574,0.0027795951952409,0.16995862881639195
hxfail,1.4230830323577806,Myocardio,CatBoost,0.8570185796735229,0.0079219006471366,0.16981814444191257
lsdcd,1.415287748251927,Myocardio,CatBoost,0.8511097231286219,0.0048426854436642,0.16864730511820644
txvent,1.407416886675491,Myocardio,CatBoost,0.8454281802300116,0.0024451205617925,0.16752150797040521
hxspbmt,1.4070325632565208,Myocardio,CatBoost,0.8442195379539125,0.0,0.16728201562626094
lbnp,1.3810626619743525,Myocardio,CatBoost,0.833757771543879,0.0128004358981686,0.16520901767560575
lsphen,1.3770377704425083,Myocardio,CatBoost,0.826222662265505,0.0,0.163715936538079
lsbram,1.346265984129195,Myocardio,CatBoost,0.8106854657791204,0.0073146882540085,0.1606372426337387
hlatxpre,1.339943506007845,Myocardio,CatBoost,0.8053314530936045,0.003413373722244,0.159576345564367
ecmo_combined,1.3375628800444586,Myocardio,CatBoost,0.803570502692103,0.0025819366635697,0.1592274134213192
hxrenins,1.3239115272818445,Myocardio,CatBoost,0.7968034095278115,0.006141232896762,0.15788651459872508
hxaf_fl,1.3199460915372452,Myocardio,CatBoost,0.793292357019038,0.0033117552417272,0.15719079990102836
fracshor,1.315627922061861,Myocardio,CatBoost,0.7922008181895462,0.0070601623810744,0.15697451159292516
hxspcrad,1.313208167241205,Myocardio,CatBoost,0.787924900344723,0.0,0.15612723890664273
txivino,1.308059948902126,Myocardio,CatBoost,0.7862854441358865,0.0036236869865271,0.15580238082552103
lstp_r,1.2853237683466634,Myocardio,CatBoost,0.7797067516795303,0.0212812266788307,0.15449881358405235
hxarryth,1.2711142538337863,Myocardio,CatBoost,0.7631827191271761,0.0012854170672607,0.15122457821355723
don_t4,1.2507129229629743,Myocardio,CatBoost,0.7517811883708782,0.0033835864827339,0.1489653660532217
age_listing,1.2256609193646522,Myocardio,CatBoost,0.7451718448655722,0.0244382331169524,0.14765572530951945
don_oth,1.228465677572971,Myocardio,CatBoost,0.7378094080176096,0.0018250036845676,0.14619685919652567
hxsolorg,1.205592985132902,Myocardio,CatBoost,0.72432533228304,0.002423853008247,0.14352499096044713
rdopdose,1.2015824094714622,Myocardio,CatBoost,0.7209494456828773,0.0,0.14285605937380133
txbili_t_r,1.179424536137122,Myocardio,CatBoost,0.712038507233441,0.0109594638779196,0.14109035782588875
lebvpcr,1.1715671091375064,Myocardio,CatBoost,0.7067931619691142,0.0096322412165261,0.14005099319497902
ttndr,1.1635312025100153,Myocardio,CatBoost,0.6991908614793686,0.0026803499333985,0.13854459812574932
bmi_txpl,1.1527458226400202,Myocardio,CatBoost,0.6962050542107626,0.0113939015668763,0.13795296071899787
age_txpl,1.137114578579983,Myocardio,CatBoost,0.6892160211063714,0.0173681848959538,0.13656808451983432
tdsacl2,1.1476455294193797,Myocardio,CatBoost,0.6886224560837965,8.784608042162926e-05,0.13645046967095006
dtime,1.1309838285040652,Myocardio,CatBoost,0.6792738747515319,0.001708944122732,0.13459804923029375
hxresp,1.1093398686975195,Myocardio,CatBoost,0.6659023048169019,0.0007459589959755797,0.13194847400703646
hbsab,1.1014540487743985,Myocardio,CatBoost,0.6616361116566145,0.0019092059799387,0.13110312826600623
lshemagt,1.0738357415065996,Myocardio,CatBoost,0.6449543984765725,0.0016323839315321,0.12779764849516384
hxturner,1.049246439091343,Myocardio,CatBoost,0.6295478634548057,0.0,0.12474484514675514
slecmo,1.0440485949518017,Myocardio,CatBoost,0.6269418240418693,0.0012816676769705,0.12422845870199925
lshpo2,1.0192594293176491,Myocardio,CatBoost,0.6125201304617,0.0024111821777762,0.12137080158512886
hxneuro,1.0040099245698348,Myocardio,CatBoost,0.6024059547419008,0.0,0.11936667869440923
atrial,0.9814217480670188,Myocardio,CatBoost,0.5897902410910391,0.0023429806270694,0.11686687631694388
drhtype,0.9547780810303128,Myocardio,CatBoost,0.5737047730544987,0.0020948110907776,0.1136795424606749
txhdl_r,0.949015443433579,Myocardio,CatBoost,0.5707582018615396,0.0033723395034804,0.11309567967832433
age_txpl_months,0.94400521526438,Myocardio,CatBoost,0.5693196683863967,0.0072913480694218,0.11281063441645918
txbcdc,0.9401343590137428,Myocardio,CatBoost,0.5653264362147555,0.0031145520162749,0.1120193758675813
height_donor,0.9280646507426497,Myocardio,CatBoost,0.5590355315136574,0.0054918526701689,0.11077283374056188
permunk,0.9294122212417528,Myocardio,CatBoost,0.5576473327450516,0.0,0.11049776229568027
debv,0.9264616112384196,Myocardio,CatBoost,0.5574289523762875,0.0038799640830895,0.11045449024780916
txmilrin,0.9117166898651582,Myocardio,CatBoost,0.5537097915887094,0.0166994441740363,0.10971753891582259
esteject,0.8899754486856002,Myocardio,CatBoost,0.5381599715464865,0.010436755837816,0.10663634365517623
slvent,0.8913549916965543,Myocardio,CatBoost,0.5351285334479444,0.0007888460750297078,0.10603566450411155
txast,0.8813611910977708,Myocardio,CatBoost,0.534870393761541,0.0151341977571965,0.10598451415149196
aaschool,0.8838306885729488,Myocardio,CatBoost,0.5313608755208166,0.0026561559426184,0.10528910346885319
techunk,0.8816494216177908,Myocardio,CatBoost,0.5296434866671241,0.0016345842411241,0.10494880304207554
lssild,0.8808646084852817,Myocardio,CatBoost,0.528518765091169,0.0,0.10472593957613384
hiv,0.8679167261810725,Myocardio,CatBoost,0.5207500357086435,0.0,0.10318656663871816
hxnoonan,0.8499100849964634,Myocardio,CatBoost,0.5111348157683352,0.0029719119261429,0.10128131178498317
txcrp_r,0.8243687062082508,Myocardio,CatBoost,0.498957306203258,0.0108402061957689,0.09886833950257032
drisk,0.8269164167238808,Myocardio,CatBoost,0.49728155801754387,0.0028292699580384,0.09853629016991958
lsunkn,0.8225227770496258,Myocardio,CatBoost,0.49365695076518046,0.00035821133851239367,0.09781807461132394
txtp_r,0.8067127439374374,Myocardio,CatBoost,0.48937859830480573,0.0133773798558583,0.09697031950621747
riskothr,0.8096725457444903,Myocardio,CatBoost,0.48643229220744966,0.0015719119018886,0.09638650925253371
lsmilrin,0.8094256135882618,Myocardio,CatBoost,0.4861646323630305,0.0012731605251836,0.09633347248157106
txhemagt,0.800204991722898,Myocardio,CatBoost,0.4809501278281435,0.0020678319860118,0.09530021893806472
txidtsys,0.7936007290017093,Myocardio,CatBoost,0.479178560725952,0.0075453083123162,0.09494918309685448
txecmo,0.7814540524150999,Myocardio,CatBoost,0.47026851186204394,0.00349020103246,0.0931836578202239
txphneo,0.7832184318154256,Myocardio,CatBoost,0.46993105908925537,0.0,0.09311679158759968
lsnox,0.7798712641964274,Myocardio,CatBoost,0.4684709877997697,0.0013705732047832,0.09282747861001193
txbram,0.7792106582298277,Myocardio,CatBoost,0.4682931554731689,0.0019169013381807,0.09279224115257356
hxcrd,0.7726989471173586,Myocardio,CatBoost,0.46361936827041517,0.0,0.0918661306934627
hxaicd,0.7650619204701044,Myocardio,CatBoost,0.4620617470591394,0.0075614869426919,0.09155748820878869
txsa_r_low,0.7562796860117244,Myocardio,CatBoost,0.4555028772711203,0.0043376641602143,0.09025784882703594
lsbaosat,0.7545464832456806,Myocardio,CatBoost,0.4538252206689949,0.0027433268039663,0.0899254213418673
injdrugs,0.7510729170980657,Myocardio,CatBoost,0.4534380752596589,0.0069858125020487,0.08984870851836273
dtoxo,0.7463514655603976,Myocardio,CatBoost,0.44853068150550796,0.0017995054231735,0.08887630894483982
egfr_listing_cat,0.746737659068229,Myocardio,CatBoost,0.44833447851923236,0.000729707695737495,0.08883743134305436
hxpuldis,0.7464703856356046,Myocardio,CatBoost,0.4478822313813628,0.0,0.08874781861865878
cprmin,0.7324227364603374,Myocardio,CatBoost,0.44476579848482084,0.013280391521546,0.0881302977570106
txdobut,0.7241398894520318,Myocardio,CatBoost,0.43448393367121907,0.0,0.08609294728940044
txo2,0.7168491058887702,Myocardio,CatBoost,0.4315399886765378,0.0035763128581893,0.08550960488797167
lshemo,0.7147884385386308,Myocardio,CatBoost,0.43121997880405327,0.005867289202187,0.08544619496426953
hxsurg,0.7134028306789,Myocardio,CatBoost,0.429139605848726,0.0027447686034651,0.08503396927465216
lcrp_r,0.7096753152168319,Myocardio,CatBoost,0.42802982390302874,0.005561586932324,0.08481406609492735
atrskshs,0.6993887188176913,Myocardio,CatBoost,0.4237791235816996,0.0103647307277122,0.08397179025836178
don_dop,0.7030281960607896,Myocardio,CatBoost,0.4230215032907699,0.0030114641357404,0.0838216678747301
txhemo,0.6986563409915315,Myocardio,CatBoost,0.4213840274382844,0.0054755571084138,0.08349720220101804
hxwillim,0.7003458883452875,Myocardio,CatBoost,0.4202075330071725,0.0,0.08326407994908999
atrskhst,0.6968062018654598,Myocardio,CatBoost,0.4180837211192759,0.0,0.08284324683939981
hxdigorg,0.6941288859563316,Myocardio,CatBoost,0.41647733157379896,0.0,0.08252494091426141
draboat,0.6896208442127314,Myocardio,CatBoost,0.41646989191752554,0.0067434634747168,0.0825234667471271
txepine,0.6738429593110952,Myocardio,CatBoost,0.4051532675545531,0.00211872991974,0.08028107877999785
lssab_r,0.6508699760570481,Myocardio,CatBoost,0.39642755522231404,0.014763923970213,0.07855207976837872
riskunk,0.6551908223206572,Myocardio,CatBoost,0.3931144933923943,0.0,0.07789559690357008
don_levo,0.6449782390137246,Myocardio,CatBoost,0.3895297370851873,0.0063569841923813,0.07718527780570614
txfcpra,0.6398350767154678,Myocardio,CatBoost,0.3854177346368984,0.0037917215190443,0.07637048493858413
lchol_r,0.6195728800931195,Myocardio,CatBoost,0.3761932914737261,0.011123908544636,0.07454266246351417
tdsacl1,0.6218609090608413,Myocardio,CatBoost,0.3756029018321039,0.0062158909889977,0.0744256768160429
hxpermyo,0.6233136855359573,Myocardio,CatBoost,0.3739882113215744,0.0,0.07410572605552317
dcircod,0.620864369611626,Myocardio,CatBoost,0.37396678528538724,0.003620408796029,0.07410148048863074
hxchb,0.6164572634608045,Myocardio,CatBoost,0.37212869070523835,0.0056358315718891,0.07373726223442613
hxcpr,0.6188029358844894,Myocardio,CatBoost,0.37148781458156255,0.0005151326271722411,0.07361027269566815
txbun_r_high,0.6095545087836303,Myocardio,CatBoost,0.3660849517372997,0.0008806161678039648,0.07253969597230658
hxtrach,0.6100517893727606,Myocardio,CatBoost,0.36603107362365633,0.0,0.07252902002956514
lsbili_d_r,0.6012097430967662,Myocardio,CatBoost,0.3632605079747765,0.0063366552917919,0.071980032727882
hxdysdia,0.602358023049845,Myocardio,CatBoost,0.36188094737916354,0.0011653338731414,0.07170667293610081
txbco,0.5990206471791635,Myocardio,CatBoost,0.36124828360624966,0.004589738246879,0.07158131067381149
dmhinf,0.5934267487921441,Myocardio,CatBoost,0.35690770569988545,0.0021291410614975,0.07072122560290774
don_t3,0.5917400494415685,Myocardio,CatBoost,0.35664403191038724,0.0040000056136153,0.07066897866832247
dabotype,0.5925755617561177,Myocardio,CatBoost,0.3562893299782855,0.0018599823115373,0.07059869451653382
dwma,0.5917248047256749,Myocardio,CatBoost,0.3552393073712122,0.0005110613395181725,0.07039063264368249
donspac,0.589497811957341,Myocardio,CatBoost,0.35471983031667786,0.0025528578556832,0.07028769831813407
dmhothr,0.5851148652357556,Myocardio,CatBoost,0.3518737480517209,0.0020120722756687,0.06972374740665191
hxpb,0.5695790697773342,Myocardio,CatBoost,0.35121035584803395,0.0236572849540836,0.0695922963089286
hxvfib,0.5791629862952655,Myocardio,CatBoost,0.3504230165248237,0.0073130618691611,0.06943628510207163
txisupro,0.5786130019767091,Myocardio,CatBoost,0.3471678011860254,0.0,0.06879126451359832
hxhep,0.5774425681895985,Myocardio,CatBoost,0.3464655409137591,0.0,0.06865211171203715
txsilden,0.5759594391090569,Myocardio,CatBoost,0.3455756634654341,0.0,0.06847578258611224
lsfprab,0.5664524805161264,Myocardio,CatBoost,0.343248148427752,0.0084416502951903,0.06801458571799952
txno2,0.5670814838460829,Myocardio,CatBoost,0.34084541386738537,0.001491308899339,0.06753848410911335
don_vpr,0.5660453389763321,Myocardio,CatBoost,0.340420566734672,0.0019834083721819,0.06745430069295412
txcntry,0.5576073900383003,Myocardio,CatBoost,0.33456443402298014,0.0,0.06629390859143872
lspge,0.5455291740729026,Myocardio,CatBoost,0.3273175044437415,0.0,0.06485793023200068
dcmv,0.5427851816846055,Myocardio,CatBoost,0.32675446276678366,0.0027083843900509,0.06474636358094758
hxshock,0.5420762122086424,Myocardio,CatBoost,0.3256741013771579,0.0010709351299311,0.0645322900814176
dmhhyten,0.5311832711273768,Myocardio,CatBoost,0.320525147205241,0.0045379613220373,0.06351202533567024
dhbsab,0.5284746364735143,Myocardio,CatBoost,0.3187955463076975,0.0042769110589723,0.06316930509364492
cmv,0.5287285972066119,Myocardio,CatBoost,0.3182650082311265,0.0025696247678984,0.06306417902770434
tdsaunk,0.5271458524978775,Myocardio,CatBoost,0.31696609924058117,0.0016964693546368,0.06280680034326863
hxtrans,0.5263064027884081,Myocardio,CatBoost,0.3162721904495193,0.0012208719411862,0.06266930238685915
ebv,0.51810564787745,Myocardio,CatBoost,0.31197107776435,0.0027692225947002,0.06181703734552334
lsbili_t_r,0.5114918663952668,Myocardio,CatBoost,0.3102310454694997,0.0083398140808491,0.061472250123182075
hxvtach,0.5020124119517723,Myocardio,CatBoost,0.3018878454133003,0.0017009956055925,0.05981904588017585
hxgi,0.5024810841396141,Myocardio,CatBoost,0.3017281181659235,0.0005986692053876369,0.05978739594234524
txdcd,0.4808508944052658,Myocardio,CatBoost,0.30077835124079927,0.0306695364940995,0.05959919972268062
txmcsd,0.4954361292824566,Myocardio,CatBoost,0.2986787497667026,0.0035426804930716,0.059183163904023776
lsdopa,0.4977736490156559,Myocardio,CatBoost,0.29866418940939354,0.0,0.05918027877070312
lscntry,0.4865505412487642,Myocardio,CatBoost,0.29271991426081123,0.0019739737788818,0.05800242125427802
lsbpam,0.4789222051898639,Myocardio,CatBoost,0.2917907724752189,0.0110936234032515,0.057818311903914996
dhxunk,0.4846909775958344,Myocardio,CatBoost,0.291645766096065,0.0020779488464109,0.057789578904626306
txbaosat,0.4792568416114801,Myocardio,CatBoost,0.28891511654414975,0.0034025289431543,0.057248500973499025
txbci,0.4715912988063966,Myocardio,CatBoost,0.285099445062992,0.0053616644478852,0.05649242605739047
weight_donor,0.4685800309482663,Myocardio,CatBoost,0.28446042364234164,0.0082810126834547,0.05636580402784845
rabotype,0.4722524134741498,Myocardio,CatBoost,0.28400869856059535,0.0016431261902637,0.05627629474882063
spschool,0.4669036868734538,Myocardio,CatBoost,0.281350291773739,0.0030201991241668,0.05574953171424592
txbnp,0.4619649037638728,Myocardio,CatBoost,0.2810512955106952,0.0096808831309287,0.05569028563511831
txalt_high,0.467151238027864,Myocardio,CatBoost,0.28091047190467994,0.0015493227199039,0.05566238145190184
txedp,0.460952274806102,Myocardio,CatBoost,0.27678688076107694,0.0005387896935394165,0.054845292285981395
lsbpcw,0.4515297654843925,Myocardio,CatBoost,0.2763508099914627,0.0135823767520681,0.0547588849073112
slinods,0.4534190596862154,Myocardio,CatBoost,0.27275529456006953,0.0017596468708509,0.054046433890083484
lsmshemo,0.4530279981629007,Myocardio,CatBoost,0.27212189344581855,0.0007627363701953316,0.05392092552368317
txbrs,0.4487969212084121,Myocardio,CatBoost,0.2707208820277795,0.0036068232568307,0.053643315253618824
hxdmd,0.438475367279414,Myocardio,CatBoost,0.26326361773326945,0.0004459934140527284,0.05216565909173136
hxlymleu,0.4372185886131883,Myocardio,CatBoost,0.26233115316791294,0.0,0.051980891332895844
efind,0.4287863269018619,Myocardio,CatBoost,0.2585383721591655,0.0031664400451209,0.051229352161568445
hxmed,0.4221554608832657,Myocardio,CatBoost,0.2538197880271016,0.0013162787428554,0.05029436519546861
prm_list,0.421441097214443,Myocardio,CatBoost,0.2536850730768559,0.0020510368704753,0.0502676714417719
lsast,0.4101516507296751,Myocardio,CatBoost,0.2533544416925912,0.0181586281369654,0.05020215686659025
dhxnone,0.4203862088290229,Myocardio,CatBoost,0.25301433651989585,0.0019565280562053,0.050134765061194124
lsfprat,0.4137085564424244,Myocardio,CatBoost,0.2527760445695279,0.0113772767601832,0.05008754753545233
lsaboinc,0.4160499506208204,Myocardio,CatBoost,0.2502234827739272,0.0014837810035874,0.049581757675135237
don_mil,0.4151769990179371,Myocardio,CatBoost,0.24974546859146327,0.0015981729517526,0.04948703921347263
hxple,0.4146796753522661,Myocardio,CatBoost,0.24880780521135965,0.0,0.04930124131002346
bicaval,0.4050417038066863,Myocardio,CatBoost,0.24403039480310412,0.0025134312977309,0.048354597923276246
